id,name,area_id,area_name,salary_from,salary_to,salary_currency,employer_id,employer_name,schedule_id,schedule_name,experience_id,experience_name,employment_id,employment_name,employment_form_id,employment_form_name,internship,snippet_requirement,snippet_responsibility,work_format,working_hours,work_schedule,professional_roles,contacts
128050613,Middle Frontend-разработчик,1,Москва,,,,1993100,Гриндата,remote,Удаленная работа,between1And3,От 1 года до 3 лет,full,Полная занятость,FULL,Полная,false,"HTML, SCSS, CSS Modules. Уверенное владение React, Next.js, TypeScript. Уверенные навыки адаптивной верстки (HTML, SCSS, CSS Modules). Опыт создания отзывчивых...","Разработка и поддержка пользовательских интерфейсов на базе Next.js, React и TypeScript. Верстка и реализация логики фронтенда. Участие в планировании, обсуждении...",Удалённо,8 часов,5/2,"Программист, разработчик",<nil>
128001310,Backend developer GO,1,Москва,,,,2393,"Программный Продукт, ИТ-компания",fullDay,Полный день,between1And3,От 1 года до 3 лет,full,Полная занятость,FULL,Полная,false,"Знание синтаксиса Go. Опыт работы с concurrency (горутины, каналы, mutexes) и понимание принципов параллельного программирования. Опыт работы с реляционными базами...",,,8 часов,5/2,"Программист, разработчик",<nil>
128009121,Frontend-разработчик,212,Тольятти,,,,4235252,Optimax Dev,fullDay,Полный день,between3And6,От 3 до 6 лет,full,Полная занятость,FULL,Полная,false,Знание ключевых принципов и идеологии React.js и компонентной архитектуры. Опыт работы с React и Redux. Навыки кросс-браузерной вёрстки и...,Разработка новых функциональных элементов системы на TypeScript. Расширение функционала существующих интерфейсов в соответствии с текущими бизнес-потребностями в кросс-функциональных...,На месте работодателя,8 часов,5/2,"Программист, разработчик",<nil>
127997288,Frontend-разработчик,24,Волгоград,,100000,RUR,3356202,Логема,fullDay,Полный день,between1And3,От 1 года до 3 лет,full,Полная занятость,FULL,Полная,false,Опыт работы во frontend-разработке от 1 года. Отличное владение HTML5 и CSS3. Навыки адаптивной верстки.,50+ сотрудников. - 6 лет непрерывного развития. - 1 место в рейтинге агентств по поддержке и развитию сайтов Волгограда по версии...,На месте работодателя; Гибрид,8 часов,5/2,"Программист, разработчик",<nil>
128021748,Андроид-разработчик,1,Москва,,,,1492559,СКАИД,fullDay,Полный день,between1And3,От 1 года до 3 лет,full,Полная занятость,FULL,Полная,false,"Опыт android-разработки от 2 лет. Уверенные знания Java, Kotlin, Android SDK, Android Studio. Знание ООП и паттернов проектирования.",,,8 часов,5/2,"Программист, разработчик",<nil>
128043414,"Senior+ Frontend‑разработчик (React 19, NextJS 15, TypeScript, Vite, Lingui, SCSS)",1,Москва,300000,300000,RUR,11948236,Холдинг Финанс,fullDay,Полный день,between3And6,От 3 до 6 лет,full,Полная занятость,FULL,Полная,false,"Технологии. ️ Состояние: Zustand; формы: React Hook Form. ️ Стили: SCSS‑модули. ️ Уверенная работа с современным React (хуки, композиция, минимизация useEffect). ️","Сборка: Vite 7. ️ Взаимодействие с API: tRPC‑клиент, superjson. ️Задачи. ️ Разрабатывать фичи и экраны. ️ Интегрироваться с tRPC‑эндпойнтами, обеспечивать типобезопасность...",На месте работодателя,8 часов,5/2,"Программист, разработчик",<nil>
128006520,Программист C#,1,Москва,220000,,RUR,2417922,ЭЛАРА,fullDay,Полный день,between3And6,От 3 до 6 лет,full,Полная занятость,FULL,Полная,false,"Опыт разработки приложений на С# от 3 лет. Знание .NET Framework, .NET Core. Опыт разработки приложений ASP.NET Core.",АО «ЭЛАРА» - ведущий российский производитель электронных приборов для различных областей применения. Инженерный центр компании «ЭЛАРА» занимается разработкой и сопровождением программно...,На месте работодателя,8 часов,5/2,"Программист, разработчик",<nil>
127778563,Frontend-разработчик (React),99,Уфа,120000,140000,RUR,4780580,HRP,fullDay,Полный день,between3And6,От 3 до 6 лет,full,Полная занятость,FULL,Полная,false,Опыт работы 3+ лет. Знание Javascript/TypeScript (ES6+) на уровне middle/pre-middle. Опыт разработки Frontend на...,Разрабатывать web-интерфейс коммерческого продукта. Плотно тестировать создаваемые решения в своей зоне ответственности. Принимать активное участие в обсуждениях и помогать...,На месте работодателя,8 часов,5/2,"Программист, разработчик",<nil>
128012422,Junior\Middle Frontend Developer,76,Ростов-на-Дону,,,,10500906,БЭТНЭТИКС,fullDay,Полный день,between1And3,От 1 года до 3 лет,full,Полная занятость,FULL,Полная,false,"Опыт тестирования и корректировки верстки для работы в разных браузерах (Chrome, Firefox, Safari, Edge) с использованием инструментов разработчика и полифиллов.","Разработка и поддержка продукта. Взаимодействие с дизайнерами, разработчиками, проектными менеджерами. Контроль и создание протоколов работы. Поддержка и модификация ранее созданного...",,8 часов,5/2,"Программист, разработчик",<nil>
127977106,Frontend-разработчик,1,Москва,,,,126757,Аффимоб,remote,Удаленная работа,between1And3,От 1 года до 3 лет,full,Полная занятость,FULL,Полная,false,знание HTML/CSS/JS. - опыт работы с Vue.js. - умение работать с Figma/Pixso. - опыт работы с арбитражными кампаниями. - знание Pug. -,Разработка мобильных landing pages под требования разных операторов. - Верстка по дизайнам из Figma/Pixso или непосредственно по техническому заданию. -,Удалённо,8 часов,5/2,"Программист, разработчик",<nil>
128047626,Senior Java-разработчик,1,Москва,,,,24209,СберЛизинг,fullDay,Полный день,moreThan6,Более 6 лет,full,Полная занятость,FULL,Полная,false,"Высшее техническое образование. Опыт работы в коммерческой разработке ПО от 3-х лет. Уверенное знание Java Core: Collections, Concurrency, JDBC...","Реализация задач по переходу системы на микросервисную архитектуру. Разработка функционала согласно поставленным требованиям. Написание unit, интеграционных тестов. Участие в планировании...",,8 часов,5/2,"Программист, разработчик",<nil>
127984262,Python-разработчик,1,Москва,140000,140000,RUR,2842803,Базальт СПО,fullDay,Полный день,between1And3,От 1 года до 3 лет,full,Полная занятость,FULL,Полная,false,"Опыт разработки на Python в Linux, Git. Знание основ РСУБД, HTTP, REST API, принципов ООП. Готовность разбираться в предметной области...","Реализация интеграции с различными внешними сервисами. Автоматизация бизнес процессов. Написание программного кода, тестов, рефакторинг, документирование. Планирование архитектуры компонентов системы, выбор...",,8 часов,5/2,"Программист, разработчик",<nil>
128038493,Frontend-разработчик,3,Екатеринбург,80000,,RUR,1533072,Энвайро,fullDay,Полный день,between1And3,От 1 года до 3 лет,full,Полная занятость,FULL,Полная,false,"Обязательные навыки: - Уверенное владение HTML5, CSS3 (Flexbox, Grid, адаптивная верстка). - Отличное знание JavaScript (ES6+). -","Взаимодействие с командой. Работа с дизайнерами, backend-разработчиками, менеджерами; участие в code review и обсуждении архитектуры. Работа с системами контроля...",На месте работодателя,8 часов,5/2,"Программист, разработчик",<nil>
